# Relative absorption vs depth and time in response to an impulse at
# the scalp at time 0. The impulse covers an 11x11 square mm area of the scalp.
# Stained gray matter (id=28) is at a depth of approximately 29 mm.
# Absorption refers to area totals in a column extending from the illuminated
# area on the scalp through the stained area at approximately 29 mm.
"depth.in.mm","1 ns","2 ns","3 ns","4 ns","5 ns","6 ns","7 ns","8 ns","9 ns","10 ns"
48,1.03196928161566e-26,4.65175787081807e-19,4.97632553642826e-16,1.54156372762007e-14,9.98872919161231e-14,2.94043700497303e-13,5.62465764482357e-13,8.38737835743685e-13,1.0768174598167e-12,1.26041401386214e-12
49,1.65831980051341e-27,1.43427003397727e-19,2.10486683300741e-16,7.82346954502641e-15,5.68725981430077e-14,1.80802430364332e-13,3.64782161589862e-13,5.64857973203943e-13,7.44991748295186e-13,8.88966384050307e-13
50,3.05345900615047e-28,4.33547856611773e-20,8.57680674742542e-17,3.81768955925509e-15,3.12058515484456e-14,1.07503631221922e-13,2.29570188154214e-13,3.70315948141992e-13,5.0311212678863e-13,6.13409991716013e-13
51,5.5950407090104e-29,1.34078150406147e-20,3.52646885953115e-17,1.86758419153557e-15,1.71302187554639e-14,6.39584920383123e-14,1.44720139972286e-13,2.43536315751726e-13,3.41342591531454e-13,4.2584517898943e-13
52,1.0393917513966e-29,4.15574517711325e-21,1.43578654716775e-17,9.00520655088546e-16,9.26456903447823e-15,3.75501259630951e-14,9.02509581510569e-14,1.58861514036291e-13,2.3029250701379e-13,2.94647609795975e-13
53,1.95765124128395e-30,1.26024384139295e-21,5.63991723175858e-18,4.18330588088934e-16,4.84057036724478e-15,2.1385497664205e-14,5.48301330208663e-14,1.01348556552485e-13,1.52473596798617e-13,2.00649546372165e-13
54,3.56216425288714e-31,3.65979298781212e-22,2.12107880398729e-18,1.8714909478967e-16,2.45356278099816e-15,1.18979401125993e-14,3.27341288868073e-14,6.38462430896897e-14,1.00077301022281e-13,1.35889482334422e-13
55,5.03318812201051e-32,9.17302471528035e-23,7.17483847908293e-19,7.7395365534739e-17,1.1729518820953e-15,6.33261488547009e-15,1.88808565842573e-14,3.91274322004549e-14,6.42164363633469e-14,9.02999116054599e-14
56,3.07254156732522e-33,1.51861841105314e-23,1.89942218082232e-19,2.73906658277406e-17,5.05226495232297e-16,3.12857521341559e-15,1.02854112491299e-14,2.28813352691234e-14,3.9568923515166e-14,5.78535505754512e-14
57,3.02740276769669e-34,3.24349912457799e-24,5.89932747852512e-20,1.09371170710063e-17,2.3994853658842e-16,1.67813774838424e-15,6.02000755070692e-15,1.42769683402067e-14,2.58970770130811e-14,3.92568505020754e-14
58,4.20706757608472e-35,8.36757877556562e-25,2.0707273650157e-20,4.78383782922104e-18,1.22582796990256e-16,9.5688736831064e-16,3.7157302680379e-15,9.34205825107822e-15,1.77048430780692e-14,2.77481494179974e-14
59,1.09293382913597e-35,2.66345299865029e-25,8.11100672917893e-21,2.21520749574424e-18,6.44046575551418e-17,5.51693556587378e-16,2.29477200623513e-15,6.07519180979712e-15,1.19753749103516e-14,1.9345463295855e-14
60,5.74312217803361e-36,1.02394007597883e-25,3.55027057044159e-21,1.10073262036327e-18,3.54689381381689e-17,3.28739822612557e-16,1.45168784938861e-15,4.02281061415882e-15,8.21366622479403e-15,1.36357822006761e-14
61,3.83950161323495e-36,4.49237669597828e-26,1.646341952897e-21,5.59815604979113e-19,1.96106379449336e-17,1.94393566354987e-16,9.04523646011787e-16,2.61013519673201e-15,5.49956030665261e-15,9.35672994073884e-15
62,2.42569477997663e-36,2.01864068729399e-26,7.29935390517594e-22,2.69021958045531e-19,1.02314080515746e-17,1.08425136807301e-16,5.31227308430713e-16,1.5948257575581e-15,3.464302225429e-15,6.03484993056618e-15
63,1.25036002840585e-36,8.16844538503015e-27,2.84604457200369e-22,1.13658677164652e-19,4.69907074164254e-18,5.3144859464402e-17,2.73305786054366e-16,8.50688783383119e-16,1.89889479460621e-15,3.37725301605688e-15
64,3.81447699878856e-37,2.31076762556673e-27,9.12582696486736e-23,4.11075086859201e-20,1.84093462762405e-18,2.19390960143075e-17,1.16939923262331e-16,3.734021808788e-16,8.49299328997523e-16,1.53195416161434e-15
